Campaign,Link Text,Final URL,Description Line 1,Description Line 2,Status
SE | Search EN | VMware to Proxmox High Intent,Pricing,https://shiftevidence.com/pricing,Compare plans and scope,Review readiness offers,Paused
SE | Search EN | VMware to Proxmox High Intent,Sample Report,https://shiftevidence.com/sample-report,See report structure,Preview deliverables,Paused
SE | Search EN | VMware to Proxmox High Intent,Demo,https://shiftevidence.com/demo,Open the demo workspace,See the methodology flow,Paused
SE | Search EN | VMware to Proxmox High Intent,Security,https://shiftevidence.com/security,Review security posture,Understand evidence handling,Paused
SE | Search EN | VMware to Proxmox High Intent,Partners,https://shiftevidence.com/partners,Explore MSP collaboration,See partner positioning,Paused
SE | Search EN | Broadcom VMware Exit,Pricing,https://shiftevidence.com/pricing,Compare plans and scope,Review readiness offers,Paused
SE | Search EN | Broadcom VMware Exit,Sample Report,https://shiftevidence.com/sample-report,See report structure,Preview deliverables,Paused
SE | Search EN | Broadcom VMware Exit,Demo,https://shiftevidence.com/demo,Open the demo workspace,See the methodology flow,Paused
SE | Search EN | Broadcom VMware Exit,Security,https://shiftevidence.com/security,Review security posture,Understand evidence handling,Paused
SE | Search EN | Broadcom VMware Exit,Partners,https://shiftevidence.com/partners,Explore MSP collaboration,See partner positioning,Paused
SE | Search ES | LATAM Espana VMware Proxmox,Pricing,https://shiftevidence.com/pricing,Compare plans and scope,Review readiness offers,Paused
SE | Search ES | LATAM Espana VMware Proxmox,Sample Report,https://shiftevidence.com/sample-report,See report structure,Preview deliverables,Paused
SE | Search ES | LATAM Espana VMware Proxmox,Demo,https://shiftevidence.com/demo,Open the demo workspace,See the methodology flow,Paused
SE | Search ES | LATAM Espana VMware Proxmox,Security,https://shiftevidence.com/security,Review security posture,Understand evidence handling,Paused
SE | Search ES | LATAM Espana VMware Proxmox,Partners,https://shiftevidence.com/partners,Explore MSP collaboration,See partner positioning,Paused
SE | Search EN ES | MSP Consultants Partners,Pricing,https://shiftevidence.com/pricing,Compare plans and scope,Review readiness offers,Paused
SE | Search EN ES | MSP Consultants Partners,Sample Report,https://shiftevidence.com/sample-report,See report structure,Preview deliverables,Paused
SE | Search EN ES | MSP Consultants Partners,Demo,https://shiftevidence.com/demo,Open the demo workspace,See the methodology flow,Paused
SE | Search EN ES | MSP Consultants Partners,Security,https://shiftevidence.com/security,Review security posture,Understand evidence handling,Paused
SE | Search EN ES | MSP Consultants Partners,Partners,https://shiftevidence.com/partners,Explore MSP collaboration,See partner positioning,Paused
