"vm_name","role","criticality","snapshot_present","recommended_wave"
"apollo-web-01","web","medium","true","Wave 0"
"apollo-utility-02","utility","low","false","Wave 1"
"apollo-sql-03","sql","critical","false","Wave 3"
"apollo-domain-04","domain","critical","false","Wave 3"
"apollo-file-05","file","low","true","Wave 1"
"apollo-erp-06","erp","critical","false","Wave 3"
"apollo-monitoring-07","monitoring","low","false","Wave 0"
"apollo-legacy-08","legacy","low","false","Wave 1"
"apollo-web-09","web","low","true","Wave 1"
"apollo-utility-10","utility","low","false","Wave 0"
"apollo-sql-11","sql","critical","false","Wave 3"
"apollo-domain-12","domain","critical","false","Wave 3"
"apollo-file-13","file","low","true","Wave 0"
"apollo-erp-14","erp","critical","false","Wave 3"
"apollo-monitoring-15","monitoring","low","false","Wave 1"
"apollo-legacy-16","legacy","medium","false","Wave 0"
