"vm_name","role","criticality","snapshot_present","recommended_wave"
"atlas-web-01","web","medium","true","Wave 0"
"atlas-utility-02","utility","low","false","Wave 1"
"atlas-sql-03","sql","critical","false","Wave 3"
"atlas-domain-04","domain","critical","false","Wave 3"
"atlas-file-05","file","low","true","Wave 1"
"atlas-erp-06","erp","critical","false","Wave 3"
"atlas-monitoring-07","monitoring","low","false","Wave 0"
"atlas-legacy-08","legacy","low","false","Wave 1"
"atlas-web-09","web","low","true","Wave 1"
"atlas-utility-10","utility","low","false","Wave 0"
"atlas-sql-11","sql","critical","false","Wave 3"
"atlas-domain-12","domain","critical","false","Wave 3"
"atlas-file-13","file","low","true","Wave 0"
"atlas-erp-14","erp","critical","false","Wave 3"
"atlas-monitoring-15","monitoring","low","false","Wave 1"
"atlas-legacy-16","legacy","medium","false","Wave 0"
