"vm_name","role","criticality","snapshot_present","recommended_wave"
"helix-web-01","web","medium","true","Wave 0"
"helix-utility-02","utility","low","false","Wave 1"
"helix-sql-03","sql","critical","false","Wave 3"
"helix-domain-04","domain","critical","false","Wave 3"
"helix-file-05","file","low","true","Wave 1"
"helix-erp-06","erp","critical","false","Wave 3"
"helix-monitoring-07","monitoring","low","false","Wave 0"
"helix-legacy-08","legacy","low","false","Wave 1"
"helix-web-09","web","low","true","Wave 1"
"helix-utility-10","utility","low","false","Wave 0"
"helix-sql-11","sql","critical","false","Wave 3"
"helix-domain-12","domain","critical","false","Wave 3"
"helix-file-13","file","low","true","Wave 0"
"helix-erp-14","erp","critical","false","Wave 3"
"helix-monitoring-15","monitoring","low","false","Wave 1"
"helix-legacy-16","legacy","medium","false","Wave 0"
