"vm_name","role","criticality","snapshot_present","recommended_wave"
"meridian-web-01","web","medium","true","Wave 0"
"meridian-utility-02","utility","low","false","Wave 1"
"meridian-sql-03","sql","critical","false","Wave 3"
"meridian-domain-04","domain","critical","false","Wave 3"
"meridian-file-05","file","low","true","Wave 1"
"meridian-erp-06","erp","critical","false","Wave 3"
"meridian-monitoring-07","monitoring","low","false","Wave 0"
"meridian-legacy-08","legacy","low","false","Wave 1"
"meridian-web-09","web","low","true","Wave 1"
"meridian-utility-10","utility","low","false","Wave 0"
"meridian-sql-11","sql","critical","false","Wave 3"
"meridian-domain-12","domain","critical","false","Wave 3"
"meridian-file-13","file","low","true","Wave 0"
"meridian-erp-14","erp","critical","false","Wave 3"
"meridian-monitoring-15","monitoring","low","false","Wave 1"
"meridian-legacy-16","legacy","medium","false","Wave 0"
