"vm_name","role","criticality","snapshot_present","recommended_wave"
"northbridge-web-01","web","medium","true","Wave 0"
"northbridge-utility-02","utility","low","false","Wave 1"
"northbridge-sql-03","sql","critical","false","Wave 3"
"northbridge-domain-04","domain","critical","false","Wave 3"
"northbridge-file-05","file","low","true","Wave 1"
"northbridge-erp-06","erp","critical","false","Wave 3"
"northbridge-monitoring-07","monitoring","low","false","Wave 0"
"northbridge-legacy-08","legacy","low","false","Wave 1"
"northbridge-web-09","web","low","true","Wave 1"
"northbridge-utility-10","utility","low","false","Wave 0"
"northbridge-sql-11","sql","critical","false","Wave 3"
"northbridge-domain-12","domain","critical","false","Wave 3"
"northbridge-file-13","file","low","true","Wave 0"
"northbridge-erp-14","erp","critical","false","Wave 3"
"northbridge-monitoring-15","monitoring","low","false","Wave 1"
"northbridge-legacy-16","legacy","medium","false","Wave 0"
