"vm_name","role","criticality","snapshot_present","recommended_wave"
"orion-web-01","web","medium","true","Wave 0"
"orion-utility-02","utility","low","false","Wave 1"
"orion-sql-03","sql","critical","false","Wave 3"
"orion-domain-04","domain","critical","false","Wave 3"
"orion-file-05","file","low","true","Wave 1"
"orion-erp-06","erp","critical","false","Wave 3"
"orion-monitoring-07","monitoring","low","false","Wave 0"
"orion-legacy-08","legacy","low","false","Wave 1"
"orion-web-09","web","low","true","Wave 1"
"orion-utility-10","utility","low","false","Wave 0"
"orion-sql-11","sql","critical","false","Wave 3"
"orion-domain-12","domain","critical","false","Wave 3"
"orion-file-13","file","low","true","Wave 0"
"orion-erp-14","erp","critical","false","Wave 3"
"orion-monitoring-15","monitoring","low","false","Wave 1"
"orion-legacy-16","legacy","medium","false","Wave 0"
