"vm_name","role","criticality","snapshot_present","recommended_wave"
"phoenix-web-01","web","medium","true","Wave 0"
"phoenix-utility-02","utility","low","false","Wave 1"
"phoenix-sql-03","sql","critical","false","Wave 3"
"phoenix-domain-04","domain","critical","false","Wave 3"
"phoenix-file-05","file","low","true","Wave 1"
"phoenix-erp-06","erp","critical","false","Wave 3"
"phoenix-monitoring-07","monitoring","low","false","Wave 0"
"phoenix-legacy-08","legacy","low","false","Wave 1"
"phoenix-web-09","web","low","true","Wave 1"
"phoenix-utility-10","utility","low","false","Wave 0"
"phoenix-sql-11","sql","critical","false","Wave 3"
"phoenix-domain-12","domain","critical","false","Wave 3"
"phoenix-file-13","file","low","true","Wave 0"
"phoenix-erp-14","erp","critical","false","Wave 3"
"phoenix-monitoring-15","monitoring","low","false","Wave 1"
"phoenix-legacy-16","legacy","medium","false","Wave 0"
